iter	RMSE
0	26.74015409
1	26.21283773
2	25.74561793
3	25.3086821
4	24.84463956
5	24.442673
6	24.06118508
7	23.6851895
8	23.35231916
9	23.01978962
10	22.70805547
11	22.43243344
12	22.16087603
13	21.89047926
14	21.67619214
15	21.42497687
16	21.23102355
17	21.02082548
18	20.82844674
19	20.61624136
20	20.43331198
21	20.2853954
22	20.1136355
23	19.96678417
24	19.82527192
25	19.70248098
26	19.58392447
27	19.44742988
28	19.29432292
29	19.16238308
30	19.06800992
31	18.94716669
32	18.81660638
33	18.71553708
34	18.59659454
35	18.46690122
36	18.36315321
37	18.28075923
38	18.16938135
39	18.07260475
40	18.01481611
41	17.94138277
42	17.84178527
43	17.76069965
44	17.66956446
45	17.59563608
46	17.49725039
47	17.41429032
48	17.33473748
49	17.26139155
50	17.17307655
51	17.11439111
52	17.04917896
53	16.96315277
54	16.88969947
55	16.83664717
56	16.75486327
57	16.65565374
58	16.58442795
59	16.53019931
60	16.44966719
61	16.37406428
62	16.34040225
63	16.30090154
64	16.26268522
65	16.20242486
66	16.14656858
67	16.08198388
68	16.01857331
69	15.96577816
70	15.92198887
71	15.84485928
72	15.80364657
73	15.78018135
74	15.75478686
75	15.70025339
76	15.64288929
77	15.60232929
78	15.58282829
79	15.54913695
80	15.51497298
81	15.46323247
82	15.39106959
83	15.32805468
84	15.29713784
85	15.24408188
86	15.17446042
87	15.11788348
88	15.07864326
89	15.00502442
90	14.97204073
91	14.90487992
92	14.86940281
93	14.83162307
94	14.79296283
95	14.74470199
96	14.69046571
97	14.64966632
98	14.61775171
99	14.60170667
100	14.56166132
101	14.51981597
102	14.48548268
103	14.45948592
104	14.43342062
105	14.4088876
106	14.37582832
107	14.33125453
108	14.27063033
109	14.25574562
110	14.18987928
111	14.14321122
112	14.09945549
113	14.04096234
114	13.99676445
115	13.95873182
116	13.92340329
117	13.89610276
118	13.85811832
119	13.81556912
120	13.76029618
121	13.70478172
122	13.69338301
123	13.67522911
124	13.62361178
125	13.58047362
126	13.57027113
127	13.54750768
128	13.53167048
129	13.51158663
130	13.50569719
131	13.48956864
132	13.46060001
133	13.44390789
134	13.42658896
135	13.40122548
136	13.35606585
137	13.33586571
138	13.31016814
139	13.2888221
140	13.25265929
141	13.24747247
142	13.23835299
143	13.20548885
144	13.17483493
145	13.15193947
146	13.13583374
147	13.11062557
148	13.09506618
149	13.0627688
150	13.05158111
151	13.03734694
152	13.02470763
153	13.00274279
154	12.98046577
155	12.91729677
156	12.88658077
157	12.86631721
158	12.83744107
159	12.82580139
160	12.81231695
161	12.8022151
162	12.79348181
163	12.77464721
164	12.75101917
165	12.71805547
166	12.69457076
167	12.66900756
168	12.6504252
169	12.63602708
170	12.62230051
171	12.57880727
172	12.54529942
173	12.51942134
174	12.50068514
175	12.45654523
176	12.43159062
177	12.42746095
178	12.3990527
179	12.39445371
180	12.37861097
181	12.32251956
182	12.29835048
183	12.25830889
